country_code_numeric,country_code,country,age_from,age_to,year,gender,value
894,ZMB,Zambia,0,0,1950,both,0.047453
894,ZMB,Zambia,0,0,1951,both,0.047559
894,ZMB,Zambia,0,0,1952,both,0.047777
894,ZMB,Zambia,0,0,1953,both,0.048005
894,ZMB,Zambia,0,0,1954,both,0.048244
894,ZMB,Zambia,0,0,1955,both,0.048493
894,ZMB,Zambia,0,0,1956,both,0.048747
894,ZMB,Zambia,0,0,1957,both,0.049004
894,ZMB,Zambia,0,0,1958,both,0.049254
894,ZMB,Zambia,0,0,1959,both,0.049482
894,ZMB,Zambia,0,0,1960,both,0.049672
894,ZMB,Zambia,0,0,1961,both,0.049806
894,ZMB,Zambia,0,0,1962,both,0.049872
894,ZMB,Zambia,0,0,1963,both,0.049865
894,ZMB,Zambia,0,0,1964,both,0.049793
894,ZMB,Zambia,0,0,1965,both,0.04968
894,ZMB,Zambia,0,0,1966,both,0.049559
894,ZMB,Zambia,0,0,1967,both,0.049459
894,ZMB,Zambia,0,0,1968,both,0.049401
894,ZMB,Zambia,0,0,1969,both,0.049387
894,ZMB,Zambia,0,0,1970,both,0.04941
894,ZMB,Zambia,0,0,1971,both,0.049447
894,ZMB,Zambia,0,0,1972,both,0.049469
894,ZMB,Zambia,0,0,1973,both,0.049451
894,ZMB,Zambia,0,0,1974,both,0.049381
894,ZMB,Zambia,0,0,1975,both,0.04925
894,ZMB,Zambia,0,0,1976,both,0.049055
894,ZMB,Zambia,0,0,1977,both,0.04881
894,ZMB,Zambia,0,0,1978,both,0.04853
894,ZMB,Zambia,0,0,1979,both,0.048225
894,ZMB,Zambia,0,0,1980,both,0.047912
894,ZMB,Zambia,0,0,1981,both,0.047606
894,ZMB,Zambia,0,0,1982,both,0.047317
894,ZMB,Zambia,0,0,1983,both,0.047053
894,ZMB,Zambia,0,0,1984,both,0.04682
894,ZMB,Zambia,0,0,1985,both,0.046615
894,ZMB,Zambia,0,0,1986,both,0.046428
894,ZMB,Zambia,0,0,1987,both,0.046249
894,ZMB,Zambia,0,0,1988,both,0.046071
894,ZMB,Zambia,0,0,1989,both,0.045894
894,ZMB,Zambia,0,0,1990,both,0.045725
894,ZMB,Zambia,0,0,1991,both,0.045578
894,ZMB,Zambia,0,0,1992,both,0.04546
894,ZMB,Zambia,0,0,1993,both,0.045376
894,ZMB,Zambia,0,0,1994,both,0.045324
894,ZMB,Zambia,0,0,1995,both,0.045302
894,ZMB,Zambia,0,0,1996,both,0.045307
894,ZMB,Zambia,0,0,1997,both,0.045325
894,ZMB,Zambia,0,0,1998,both,0.045338
894,ZMB,Zambia,0,0,1999,both,0.045328
894,ZMB,Zambia,0,0,2000,both,0.045271
894,ZMB,Zambia,0,0,2001,both,0.045143
894,ZMB,Zambia,0,0,2002,both,0.044935
894,ZMB,Zambia,0,0,2003,both,0.044642
894,ZMB,Zambia,0,0,2004,both,0.044268
894,ZMB,Zambia,0,0,2005,both,0.043823
894,ZMB,Zambia,0,0,2006,both,0.043327
894,ZMB,Zambia,0,0,2007,both,0.042803
894,ZMB,Zambia,0,0,2008,both,0.042272
894,ZMB,Zambia,0,0,2009,both,0.041738
894,ZMB,Zambia,0,0,2010,both,0.041194
894,ZMB,Zambia,0,0,2011,both,0.04062
894,ZMB,Zambia,0,0,2012,both,0.040002
894,ZMB,Zambia,0,0,2013,both,0.039339
894,ZMB,Zambia,0,0,2014,both,0.038645
894,ZMB,Zambia,0,0,2015,both,0.03795
894,ZMB,Zambia,0,0,2016,both,0.037292
894,ZMB,Zambia,0,0,2017,both,0.036699
894,ZMB,Zambia,0,0,2018,both,0.036192
894,ZMB,Zambia,0,0,2019,both,0.035776
894,ZMB,Zambia,0,0,2020,both,0.035443
894,ZMB,Zambia,0,0,2021,both,0.035175
894,ZMB,Zambia,0,0,2022,both,0.034937
894,ZMB,Zambia,0,0,2023,both,0.034702
894,ZMB,Zambia,0,0,2024,both,0.034453
894,ZMB,Zambia,0,0,2025,both,0.034183
894,ZMB,Zambia,0,0,2026,both,0.033889
894,ZMB,Zambia,0,0,2027,both,0.03358
894,ZMB,Zambia,0,0,2028,both,0.033263
894,ZMB,Zambia,0,0,2029,both,0.032938
894,ZMB,Zambia,0,0,2030,both,0.032605
894,ZMB,Zambia,0,0,2031,both,0.032263
894,ZMB,Zambia,0,0,2032,both,0.031914
894,ZMB,Zambia,0,0,2033,both,0.031559
894,ZMB,Zambia,0,0,2034,both,0.0312
894,ZMB,Zambia,0,0,2035,both,0.030841
894,ZMB,Zambia,0,0,2036,both,0.030483
894,ZMB,Zambia,0,0,2037,both,0.030128
894,ZMB,Zambia,0,0,2038,both,0.029779
894,ZMB,Zambia,0,0,2039,both,0.029436
894,ZMB,Zambia,0,0,2040,both,0.029101
894,ZMB,Zambia,0,0,2041,both,0.028772
894,ZMB,Zambia,0,0,2042,both,0.028448
894,ZMB,Zambia,0,0,2043,both,0.028128
894,ZMB,Zambia,0,0,2044,both,0.027814
894,ZMB,Zambia,0,0,2045,both,0.027506
894,ZMB,Zambia,0,0,2046,both,0.027205
894,ZMB,Zambia,0,0,2047,both,0.026912
894,ZMB,Zambia,0,0,2048,both,0.026629
894,ZMB,Zambia,0,0,2049,both,0.026355
894,ZMB,Zambia,0,0,2050,both,0.026089
894,ZMB,Zambia,0,0,2051,both,0.025831
894,ZMB,Zambia,0,0,2052,both,0.02558
894,ZMB,Zambia,0,0,2053,both,0.025334
894,ZMB,Zambia,0,0,2054,both,0.025093
894,ZMB,Zambia,0,0,2055,both,0.024857
894,ZMB,Zambia,0,0,2056,both,0.024626
894,ZMB,Zambia,0,0,2057,both,0.024401
894,ZMB,Zambia,0,0,2058,both,0.024182
894,ZMB,Zambia,0,0,2059,both,0.023967
894,ZMB,Zambia,0,0,2060,both,0.023755
894,ZMB,Zambia,0,0,2061,both,0.023544
894,ZMB,Zambia,0,0,2062,both,0.023333
894,ZMB,Zambia,0,0,2063,both,0.02312
894,ZMB,Zambia,0,0,2064,both,0.022906
894,ZMB,Zambia,0,0,2065,both,0.022691
894,ZMB,Zambia,0,0,2066,both,0.022475
894,ZMB,Zambia,0,0,2067,both,0.02226
894,ZMB,Zambia,0,0,2068,both,0.022048
894,ZMB,Zambia,0,0,2069,both,0.02184
894,ZMB,Zambia,0,0,2070,both,0.021635
894,ZMB,Zambia,0,0,2071,both,0.021434
894,ZMB,Zambia,0,0,2072,both,0.021237
894,ZMB,Zambia,0,0,2073,both,0.021042
894,ZMB,Zambia,0,0,2074,both,0.020851
894,ZMB,Zambia,0,0,2075,both,0.020663
894,ZMB,Zambia,0,0,2076,both,0.020479
894,ZMB,Zambia,0,0,2077,both,0.020299
894,ZMB,Zambia,0,0,2078,both,0.020123
894,ZMB,Zambia,0,0,2079,both,0.01995
894,ZMB,Zambia,0,0,2080,both,0.019779
894,ZMB,Zambia,0,0,2081,both,0.019609
894,ZMB,Zambia,0,0,2082,both,0.019439
894,ZMB,Zambia,0,0,2083,both,0.019268
894,ZMB,Zambia,0,0,2084,both,0.019097
894,ZMB,Zambia,0,0,2085,both,0.018926
894,ZMB,Zambia,0,0,2086,both,0.018755
894,ZMB,Zambia,0,0,2087,both,0.018584
894,ZMB,Zambia,0,0,2088,both,0.018416
894,ZMB,Zambia,0,0,2089,both,0.01825
894,ZMB,Zambia,0,0,2090,both,0.018086
894,ZMB,Zambia,0,0,2091,both,0.017925
894,ZMB,Zambia,0,0,2092,both,0.017766
894,ZMB,Zambia,0,0,2093,both,0.017609
894,ZMB,Zambia,0,0,2094,both,0.017454
894,ZMB,Zambia,0,0,2095,both,0.017302
894,ZMB,Zambia,0,0,2096,both,0.017151
894,ZMB,Zambia,0,0,2097,both,0.017002
894,ZMB,Zambia,0,0,2098,both,0.016855
894,ZMB,Zambia,0,0,2099,both,0.01671